season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,us_viewers
1,1,1,Pilot,Vince Gilligan,Vince Gilligan,2008-01-20,1410000.0
1,2,2,Cat's in the Bag...,Adam Bernstein,Vince Gilligan,2008-01-27,1490000.0
1,3,3,...And the Bag's in the River,Adam Bernstein,Vince Gilligan,2008-02-10,1080000.0
1,4,4,Cancer Man,Jim McKay,Vince Gilligan,2008-02-17,1090000.0
1,5,5,Gray Matter,Tricia Brock,Patty Lin,2008-02-24,970000.0
1,6,6,Crazy Handful of Nothin',Bronwen Hughes,George Mastras,2008-03-02,1070000.0
1,7,7,A No-Rough-Stuff-Type Deal,Tim Hunter,Peter Gould,2008-03-09,1500000.0
2,1,8,Seven Thirty-Seven,Bryan Cranston,J. Roberts,2009-03-08,1660000.0
2,2,9,Grilled,Charles Haid,George Mastras,2009-03-15,1600000.0
2,3,10,Bit by a Dead Bee,Terry McDonough,Peter Gould,2009-03-22,1130000.0
2,4,11,Down,John Dahl,Sam Catlin,2009-03-29,1290000.0
2,5,12,Breakage,Johan Renck,Moira Walley-Beckett,2009-04-05,1210000.0
2,6,13,Peekaboo,Peter Medak,J. Roberts & Vince Gilligan,2009-04-12,1410000.0
2,7,14,Negro y Azul,Felix Alcala,John Shiban,2009-04-19,
2,8,15,Better Call Saul,Terry McDonough,Peter Gould,2009-04-26,1040000.0
2,9,16,4 Days Out,Michelle MacLaren,Sam Catlin,2009-05-03,
2,10,17,Over,Phil Abraham,Moira Walley-Beckett,2009-05-10,
2,11,18,Mandala,Adam Bernstein,George Mastras,2009-05-17,
2,12,19,Phoenix,Colin Bucksey,John Shiban,2009-05-24,
2,13,20,ABQ,Adam Bernstein,Vince Gilligan,2009-05-31,1500000.0
3,1,21,No Más,Bryan Cranston,Vince Gilligan,2010-03-21,1950000.0
3,2,22,Caballo sin Nombre,Adam Bernstein,Peter Gould,2010-03-28,1550000.0
3,3,23,I.F.T.,Michelle MacLaren,George Mastras,2010-04-04,1330000.0
3,4,24,Green Light,Scott Winant,Sam Catlin,2010-04-11,1460000.0
3,5,25,Más,Johan Renck,Moira Walley-Beckett,2010-04-18,1610000.0
3,6,26,Sunset,John Shiban,John Shiban,2010-04-25,1640000.0
3,7,27,One Minute,Michelle MacLaren,Thomas Schnauz,2010-05-02,1520000.0
3,8,28,I See You,Colin Bucksey,Gennifer Hutchison,2010-05-09,1780000.0
3,9,29,Kafkaesque,Michael Slovis,Peter Gould & George Mastras,2010-05-16,1610000.0
3,10,30,Fly,Rian Johnson,Sam Catlin & Moira Walley-Beckett,2010-05-23,1200000.0
3,11,31,Abiquiu,Michelle MacLaren,John Shiban & Thomas Schnauz,2010-05-30,1320000.0
3,12,32,Half Measures,Adam Bernstein,Sam Catlin & Peter Gould,2010-06-06,1190000.0
3,13,33,Full Measure,Vince Gilligan,Vince Gilligan,2010-06-13,1560000.0
4,1,34,Box Cutter,Adam Bernstein,Vince Gilligan,2011-07-17,2580000.0
4,2,35,Thirty-Eight Snub,Michelle MacLaren,George Mastras,2011-07-24,1970000.0
4,3,36,Open House,David Slade,Sam Catlin,2011-07-31,1710000.0
4,4,37,Bullet Points,Colin Bucksey,Moira Walley-Beckett,2011-08-07,1830000.0
4,5,38,Shotgun,Michelle MacLaren,Thomas Schnauz,2011-08-14,1750000.0
4,6,39,Cornered,Michael Slovis,Gennifer Hutchison,2011-08-21,1670000.0
4,7,40,Problem Dog,Peter Gould,Peter Gould,2011-08-28,1910000.0
4,8,41,Hermanos,Johan Renck,Sam Catlin & George Mastras,2011-09-04,1980000.0
4,9,42,Bug,Terry McDonough,Moira Walley-Beckett & Thomas Schnauz,2011-09-11,1890000.0
4,10,43,Salud,Michelle MacLaren,Peter Gould & Gennifer Hutchison,2011-09-18,1800000.0
4,11,44,Crawl Space,Scott Winant,George Mastras & Sam Catlin,2011-09-25,1550000.0
4,12,45,End Times,Vince Gilligan,Thomas Schnauz & Moira Walley-Beckett,2011-10-02,1730000.0
4,13,46,Face Off,Vince Gilligan,Vince Gilligan,2011-10-09,1900000.0
5,1,47,Live Free or Die,Michael Slovis,Vince Gilligan,2012-07-15,2930000.0
5,2,48,Madrigal,Michelle MacLaren,Vince Gilligan,2012-07-22,2290000.0
5,3,49,Hazard Pay,Adam Bernstein,Peter Gould,2012-07-29,2200000.0
5,4,50,Fifty-One,Rian Johnson,Sam Catlin,2012-08-05,2290000.0
5,5,51,Dead Freight,George Mastras,George Mastras,2012-08-12,2480000.0
5,6,52,Buyout,Colin Bucksey,Gennifer Hutchison,2012-08-19,2810000.0
5,7,53,Say My Name,Thomas Schnauz,Thomas Schnauz,2012-08-26,2980000.0
5,8,54,Gliding Over All,Michelle MacLaren,Moira Walley-Beckett,2012-09-02,2780000.0
5,9,55,Blood Money,Bryan Cranston,Peter Gould,2013-08-11,5920000.0
5,10,56,Buried,Michelle MacLaren,Thomas Schnauz,2013-08-18,4770000.0
5,11,57,Confessions,Michael Slovis,Gennifer Hutchison,2013-08-25,4850000.0
5,12,58,Rabid Dog,Sam Catlin,Sam Catlin,2013-09-01,4410000.0
5,13,59,To'hajiilee,Michelle MacLaren,George Mastras,2013-09-08,5110000.0
5,14,60,Ozymandias,Rian Johnson,Moira Walley-Beckett,2013-09-15,6370000.0
5,15,61,Granite State,Peter Gould,Peter Gould,2013-09-22,6580000.0
5,16,62,Felina,Vince Gilligan,Vince Gilligan,2013-09-29,10280000.0
